stateCategory,stateCategory-href,schoolLink,schoolLink-href,name,brief,website,acronym,founded,motto,address,phone,fax,locations,admissionOffice,students,academicCalendar,staff,campusSetting,controlType,religiousAffiliation,entityType,library,financialAid,housing,studyAbroad,sportFacility,distanceLearning,accreditations,affiliations,facebook,twitter,linkedin,instagram,youtube,itunes,wikipedia,admissionRate,BDtuitionIn,BDtuitionOut,MDtuitionIn,MDtuitionOut
"British Columbia","http://www.4icu.org/ca/british-columbia/","Emily Carr University of Art and Design","http://www.4icu.org/reviews/533.htm","Emily Carr University of Art and Design","Founded in 1925, Emily Carr University of Art and Design is a non-profit public higher education institution located in the urban setting of the large city of Vancouver (population range of 1,000,000-5,000,000 inhabitants), British Columbia.  Officially accredited and/or recognized by the Ministry of Advanced Education, British Columbia, Emily Carr University of Art and Design (ECUAD) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational higher education institution. Emily Carr University of Art and Design (ECUAD) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 92 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this Canadian higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  ECUAD also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.ecuad.ca","ECUAD","1925","Eye, Mind and Hand","1399 Johnston Street

Vancouver (population range: 1,000,000-5,000,000)

V6H 3R9 British Columbia Canada","+1 (604) 844 3800","+1 (604) 844 3801","null","1399 Johnston Street

Vancouver V6H 3R9+1 

800 832 7788","1,000-1,999","Semesters","200-299","Urban","Public","None","Non-Profit","Yes","Yes","Not reported","Yes","Not reported","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education, British Columbia\n""},{""accreditations"":""Association of Universities and Colleges of Canada (AUCC)""},{""accreditations"":""Association of Independent Colleges of Art and Design (AICAD)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Independent Colleges of Art and Design (AICAD)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""European League of Institutes of the Arts (ELIA)""}]","https://www.facebook.com/Emily.Carr.University/","https://twitter.com/EmilyCarrU","https://www.linkedin.com/school/29691","https://www.instagram.com/emilycarru/","","Not reported","https://en.wikipedia.org/wiki/Emily_Carr_University_of_Art_and_Design","50-60%","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","Not reported"
"New Brunswick","http://www.4icu.org/ca/new-brunswick/","Kingswood University","http://www.4icu.org/reviews/9215.htm","Kingswood University","Founded in 1945, Kingswood University is a non-profit private higher education institution located in the rural setting of the small town of Sussex (population range of 2,500-9,999 inhabitants), New Brunswick.  Officially accredited and/or recognized by the Department of Post-Secondary Education, Training and Labour, New Brunswick, Kingswood University (KU) is a very small (uniRank enrollment range: 250-499 students) coeducational higher education institution formally affiliated with the Christian-Methodist Wesleyan Church - www.wesleyan.org religion. Kingswood University (KU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 72 years old higher-education institution has a selective admission policy based on students' past academic record and grades. International students are welcome to apply for enrollment.  KU also provides several academic and non-academic facilities and services to students including a library,  housing,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.kingswood.edu","KU","1945","Preparing World-Class Christian Leaders for Ministry","26 Western Street

Sussex (population range: 2,500-9,999)

E4E 1E6 New Brunswick Canada","+1 (506) 432 4400","+1 (506) 432 4425","null","26 Western Street

Sussex E4E 1E6+1 (506) 432 4422

888 432 4422","250-499","Semesters","under-50","Rural","Private","Christian-Methodist Wesleyan Church - www.wesleyan.org","Non-Profit","Yes","Yes","Yes","Yes","Not reported","Not reported","[{""accreditations"":""\n\nDepartment of Post-Secondary Education, Training and Labour, New Brunswick\n""},{""accreditations"":""Association for Biblical Higher Education (ABHE), Commission on Accreditation""},{""accreditations"":""Evangelical Association of Canada""},{""accreditations"":""Christian Holiness Partnership (CHP)""}]","[{""affiliations"":""Association of Christian Schools International (ACSI)""},{""affiliations"":""Christian Higher Education Canada (CHEC)""}]","https://www.facebook.com/kingswooduniversity/","https://twitter.com/kingswood","https://www.linkedin.com/school/2413219","https://www.instagram.com/kingswooduniversity/","","Not reported","https://en.wikipedia.org/wiki/Kingswood_University","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","Not reported","Not reported"
"Saskatchewan","http://www.4icu.org/ca/saskatchewan/","St. Thomas More College","http://www.4icu.org/reviews/9207.htm","St. Thomas More College","Founded in 1936, St. Thomas More College is a non-profit public higher education institution located in the urban setting of the small city of Saskatoon (population range of 250,000-499,999 inhabitants), Saskatchewan.  Officially accredited and/or recognized by the Ministry of Advanced Education, Saskatchewan, St. Thomas More College  is a small (uniRank enrollment range: 2,000-2,999 students) coeducational higher education institution formally affiliated with the Christian-Catholic Basilian Fathers, Congregation of St. Basil - www.basilian.org religion. St. Thomas More College offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International students are welcome to apply for enrollment.  St. Thomas More College also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","http://stmcollege.ca","null","Caput Nostrum Christus
Christ is our Head","Burgundy, gold and black","1437 College Drive

Saskatoon (population range: 250,000-499,999)

S7N 0W6 Saskatchewan Canada","+1 (306) 966 8900","+1 (306) 966 8904","null","+1","2,000-2,999","Not reported","100-199","Urban","Public","Christian-Catholic Basilian Fathers, Congregation of St. Basil - www.basilian.org","Non-Profit","Yes","Not reported","Not reported","Not reported","Not reported","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education, Saskatchewan\n""}]","[{""affiliations"":""Universities Canada (UC)""}]","https://www.facebook.com/stmcollege/","https://twitter.com/stm1936","","","","Not reported","https://en.wikipedia.org/wiki/St._Thomas_More_College","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
"Alberta","http://www.4icu.org/ca/alberta/","The King’s University","http://www.4icu.org/reviews/539.htm","The King’s University","Founded in 1979, The King’s University is a non-profit private higher education institution located in the suburban setting of the medium-sized city of Edmonton (population range of 500,000-1,000,000 inhabitants), Alberta.  Officially accredited and/or recognized by the Alberta Advanced Education, The King’s University (King's) is a very small (uniRank enrollment range: 500-999 students) coeducational higher education institution formally affiliated with the Christian-Reformed Christian Reformed Church in North America - www.crcna.org religion. The King’s University (King's) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 38 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 80-90% making this Canadian higher education organization a least selective institution. International students are welcome to apply for enrollment.  King's also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  study abroad and exchange programs,  as well as administrative services.","http://www.kingsu.ca","King's","1979","Teaching Each Other in All Wisdom","9125 - 50 Street

Edmonton (population range: 500,000-1,000,000)

T6B 2H3 Alberta Canada","+1 800 661 8582","+1 (780) 465 3534","null","9125 - 50 Street

Edmonton T7B 2H3+1 (780) 465 3500

800 661 8582","500-999","Semesters","100-199","Suburban","Private","Christian-Reformed Christian Reformed Church in North America - www.crcna.org","Non-Profit","Yes","Not reported","Not reported","Yes","Yes","Not reported","[{""accreditations"":""\n\nAlberta Advanced Education\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Council for Christian Colleges and Universities (CCCU)""},{""affiliations"":""International Association for the Promotion of Christian Higher Education (IAPCHE)""}]","https://www.facebook.com/TheKingsUniv/","https://twitter.com/TheKingsU","https://www.linkedin.com/school/746587/","https://www.instagram.com/thekingsu/","","Not reported","https://en.wikipedia.org/wiki/The_King%27s_University_(Edmonton)","80-90%","7,500-10,000 US$ (5,500-7,400 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","Not reported","Not reported"
"Nova Scotia","http://www.4icu.org/ca/nova-scotia/","Cape Breton University","http://www.4icu.org/reviews/581.htm","Cape Breton University","Founded in 1974, Cape Breton University is a non-profit public higher education institution located in the suburban setting of the large town of Sydney (population range of 50,000-249,999 inhabitants), Nova Scotia. This institution has also branch campuses in the following location(s): New Cairo. Officially accredited and/or recognized by the Department of Labour and Advanced Education, Nova Scotia, Cape Breton University (CBU) is a small (uniRank enrollment range: 3,000-3,999 students) coeducational higher education institution. Cape Breton University (CBU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 43 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 50-60% making this Canadian higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  CBU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.cbu.ca","CBU","1974 Origins date back to 1951","Experience the Possibilities","PO Box 5300

Sydney (population range: 50,000-249,999)

B1P 6L2 Nova Scotia Canada","+1 (902) 539 5300","+1 (902) 562 0119","New Cairo","1250 Grand Lake Road

Sydney B1P 6L2+1 (902) 563 1136

800 474 7212","3,000-3,999","Semesters","300-399","Suburban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nDepartment of Labour and Advanced Education, Nova Scotia\n""},{""accreditations"":""Maritime Provinces Higher Education Commission (MPHEC)""},{""accreditations"":""Association of Atlantic Universities (AAU)""},{""accreditations"":""Association of Universities and Colleges of Canada (AUCC)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Canadian Virtual University (CVU)""},{""affiliations"":""Colleges and Institutes Canada (CICan)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""}]","https://www.facebook.com/CapeBretonUniversity/","https://twitter.com/cbuniversity","https://www.linkedin.com/school/874667","","","Not reported","https://en.wikipedia.org/wiki/Cape_Breton_University","50-60%","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)","Not reported"
"British Columbia","http://www.4icu.org/ca/british-columbia/","Vancouver Island University","http://www.4icu.org/reviews/546.htm","Vancouver Island University","Established in 1969, Vancouver Island University is a non-profit public higher education institution located in the urban setting of the large town of Nanaimo (population range of 50,000-249,999 inhabitants), British Columbia. This institution has also branch campuses in the following location(s): Duncan, Parksville, Powellriver. Officially accredited and/or recognized by the Ministry of Advanced Education, British Columbia, Vancouver Island University (VIU) is a large (uniRank enrollment range: 15,000-19,999 students) coeducational higher education institution. Vancouver Island University (VIU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 48 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 60-70% making this Canadian higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  VIU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.viu.ca","VIU","1969","Love where you learn","900 Fifth Street

Nanaimo (population range: 50,000-249,999)

V9R 5S5 British Columbia Canada","+1 (250) 740 6315","+1 (250) 740 6472","Duncan, Parksville, Powellriver","900 Fifth Street

Nanaimo V9R 5S5+1 (250) 740 6315","15,000-19,999","Semesters","2,000-2,499","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education, British Columbia\n""},{""accreditations"":""Association to Advance Collegiate Schools of Business (AACSB International)""},{""accreditations"":""Commission on Dental Accreditation Canada (CDAC)""},{""accreditations"":""Canadian Association of Schools of Nursing (NCASN)""},{""accreditations"":""Canadian Forestry Accreditation Board (CFAB)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Press (CUP)""}]","","https://www.linkedin.com/school/287349","https://www.youtube.com/user/viuchannel","","","Not reported","https://en.wikipedia.org/wiki/Vancouver_Island_University","60-70%","2,500-5,000 US$ (1,800-3,700 Euro)","10,000-12,500 US$ (7,400-9,200 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)","over 20,000 US$ (14,700 Euro)"
"Nova Scotia","http://www.4icu.org/ca/nova-scotia/","Dalhousie University","http://www.4icu.org/reviews/529.htm","Dalhousie University","Founded in 1818, Dalhousie University is a non-profit public higher education institution located in the urban setting of the small city of Halifax (population range of 250,000-499,999 inhabitants), Nova Scotia.  Officially accredited and/or recognized by the Department of Labour and Advanced Education, Nova Scotia, Dalhousie University  is a large (uniRank enrollment range: 15,000-19,999 students) coeducational higher education institution. Dalhousie University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 199 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 70-80% making this Canadian higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  Dalhousie University also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.dal.ca","null","Ora et Labora
Pray and work","Black and gold","6885 University Avenue

Halifax (population range: 250,000-499,999)

B3H 4H6 Nova Scotia Canada","+1 (902) 494 2450","+1 (902) 494 1630","null","6885 University Avenue

Halifax B3H 4H6+1 (902) 494 2450","15,000-19,999","Semesters","2,000-2,499","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nDepartment of Labour and Advanced Education, Nova Scotia\n""},{""accreditations"":""Association to Advance Collegiate Schools of Business (AACSB International)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""U15 Group of Canadian Research Universities (U15)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""}]","https://www.facebook.com/DalhousieUniversity/","https://twitter.com/Dalnews","https://www.linkedin.com/school/163331","https://www.instagram.com/dalhousie_University/","","Not reported","https://en.wikipedia.org/wiki/Dalhousie_University","70-80%","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","University of Toronto","http://www.4icu.org/reviews/614.htm","University of Toronto","Established in 1827, University of Toronto is a non-profit public higher education institution located in the urban setting of the large city of Toronto (population range of 1,000,000-5,000,000 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, University of Toronto (UofT) is a very large (uniRank enrollment range: over-45,000 students) coeducational higher education institution. University of Toronto (UofT) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. International applicants are eligible to apply for enrollment.  UofT also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  study abroad and exchange programs,  as well as administrative services.","http://www.utoronto.ca","UofT","1827","Velut arbor ævo
As a tree through the ages","27 King's College Circle

Toronto (population range: 1,000,000-5,000,000)

M5S 1A1 Ontario Canada","+1 (416) 978 2011","+1 (416) 978 8182","null","+1","over-45,000","Semesters","2,500-2,999","Urban","Public","None","Non-Profit","Yes","Not reported","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""Association to Advance Collegiate Schools of Business (AACSB International)""},{""accreditations"":""American Library Association (ALA), Committee on Accreditation""},{""accreditations"":""Commission on Accreditation of Healthcare Management Education (CAHME)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Association of American Universities (AAU)""},{""affiliations"":""U15 Group of Canadian Research Universities (U15)""},{""affiliations"":""Association of Universities for Research in Astronomy (AURA)""},{""affiliations"":""Worldwide Universities N""}]","https://www.facebook.com/universitytoronto/","https://twitter.com/uoft","https://www.linkedin.com/school/3660","https://www.instagram.com/uoft/","","Not reported","https://en.wikipedia.org/wiki/University_of_Toronto","Not reported","2,500-5,000 US$ (1,800-3,700 Euro)","17,500-20,000 US$ (12,900-14,700 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
"Saskatchewan","http://www.4icu.org/ca/saskatchewan/","First Nations University of Canada","http://www.4icu.org/reviews/566.htm","First Nations University of Canada","Established in 1976, First Nations University of Canada is a non-profit public higher education institution located in the urban setting of the large town of Regina (population range of 50,000-249,999 inhabitants), Saskatchewan.  Officially accredited and/or recognized by the Ministry of Advanced Education, Saskatchewan, First Nations University of Canada (FNUC) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational higher education institution. First Nations University of Canada (FNUC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 41 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 80-90% making this Canadian higher education organization a least selective institution. International applicants are eligible to apply for enrollment.  FNUC also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  online courses and distance learning opportunities,  as well as administrative services.","http://www.fnuniv.ca","FNUC","1976","","1 First Nations Way

Regina (population range: 50,000-249,999)

S4S 7K2 Saskatchewan Canada","+1 (306) 790 5950","+1 (306) 790 5999","null","1 First Nations Way

Regina S4S 0A2+1 (306) 790 5950","1,000-1,999","Quadmesters","100-199","Urban","Public","None","Non-Profit","Yes","Not reported","Not reported","Not reported","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education, Saskatchewan\n""}]","[{""affiliations"":""Universities Canada (UC)""}]","https://www.facebook.com/FNUNIV/","https://twitter.com/FNUNIVCAN","https://www.linkedin.com/school/90107","","","Not reported","https://en.wikipedia.org/wiki/First_Nations_University_of_Canada","80-90%","2,500-5,000 US$ (1,800-3,700 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","Not reported","Not reported"
"Saskatchewan","http://www.4icu.org/ca/saskatchewan/","Campion College at the University of Regina","http://www.4icu.org/reviews/524.htm","Campion College at the University of Regina","Established in 1917, Campion College at the University of Regina is a non-profit private higher education institution located in the urban setting of the large town of Regina (population range of 50,000-249,999 inhabitants), Saskatchewan.  Officially accredited and/or recognized by the Ministry of Advanced Education, Saskatchewan, Campion College at the University of Regina  is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational higher education institution formally affiliated with the Christian-Catholic Jesuit - www.jesuit.org religion. Campion College at the University of Regina offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 100 years old higher-education institution has a selective admission policy based on students' past academic record and grades.  Campion College at the University of Regina also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  study abroad and exchange programs,  as well as administrative services.","http://campioncollege.ca","null","","null","3737 Wascana Parkway

Regina (population range: 50,000-249,999)

S4S 0A2 Saskatchewan Canada","+1 (306) 586 4242","+1 (306) 359 1200","null","3737 Wascan Parkway

Regina S4R 4C3+1 (306) 586 4242

800 667 7282","1,000-1,999","Semesters","Not reported","Urban","Private","Christian-Catholic Jesuit - www.jesuit.org","Non-Profit","Yes","Not reported","Yes","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education, Saskatchewan\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Catholic Colleges and Universities (ACCU)""}]","https://www.facebook.com/CampionCollege/","https://twitter.com/CampionUR","https://www.linkedin.com/school/15093275","https://www.instagram.com/campion.college.regina/","","Not reported","https://en.wikipedia.org/wiki/Campion_College,_Regina","Not reported","5,000-7,500 US$ (3,700-5,500 Euro)","7,500-10,000 US$ (5,500-7,400 Euro)","Not reported","Not reported"
"Ontario","http://www.4icu.org/ca/ontario/","University of Ontario Institute of Technology","http://www.4icu.org/reviews/9210.htm","University of Ontario Institute of Technology","Established in 2002, University of Ontario Institute of Technology is a non-profit public higher education institution located in the suburban setting of the large town of Oshawa (population range of 50,000-249,999 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, University of Ontario Institute of Technology (UOIT) is a large (uniRank enrollment range: 10,000-14,999 students) coeducational higher education institution. University of Ontario Institute of Technology (UOIT) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 15 years old higher-education institution has a selective admission policy based on students' past academic record and grades. International applicants are eligible to apply for enrollment.  UOIT also provides several academic and non-academic facilities and services to students including a library,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","http://www.uoit.ca","UOIT","2002","Challenge, Innovate, Connect","2000 Simcoe Street North

Oshawa (population range: 50,000-249,999)

L1H 7K4 Ontario Canada","+1 (905) 721 3190","+1 (905) 721 3178","null","2000 Simcoe Street North

Oshawa L1H 7K4+1 (905) 721 3190","10,000-14,999","Semesters","200-299","Suburban","Public","None","Non-Profit","Yes","Yes","Not reported","Yes","Yes","Not reported","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""}]","https://www.facebook.com/myuoit/","https://twitter.com/uoit","https://www.linkedin.com/company/uoit","","","Not reported","https://en.wikipedia.org/wiki/University_of_Ontario_Institute_of_Technology","Not reported","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","12,500-15,000 US$ (9,200-11,000 Euro)"
"Manitoba","http://www.4icu.org/ca/manitoba/","Brandon University","http://www.4icu.org/reviews/519.htm","Brandon University","Founded in 1899, Brandon University is a non-profit public higher education institution located in the urban setting of the large town of Brandon (population range of 50,000-249,999 inhabitants), Manitoba.  Officially accredited and/or recognized by the Department of Advanced Education and Literacy, Manitoba, Brandon University (BU) is a small (uniRank enrollment range: 3,000-3,999 students) coeducational higher education institution. Brandon University (BU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 118 years old higher-education institution has a selective admission policy based on students' past academic record and grades. International students are welcome to apply for enrollment.  BU also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.brandonu.ca","BU","1899","Be You at BU","270 18th Street

Brandon (population range: 50,000-249,999)

R7A 6A9 Manitoba Canada","+1 (204) 727 7479","+1 (204) 727 7471","null","270 18th Street

Brandon R7A 6A9+1 (204) 727 9784

800 644 7644","3,000-3,999","Semesters","400-499","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nDepartment of Advanced Education and Literacy, Manitoba\n""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Canadian University Society for Intercollegiate Debate (CUSID)""},{""affiliations"":""Canadian University Press (CUP)""}]","https://www.facebook.com/BrandonUni/","https://twitter.com/brandonuni","https://www.linkedin.com/school/51014","https://www.instagram.com/brandonuni/","","Not reported","https://en.wikipedia.org/wiki/Brandon_University","Not available","2,500-5,000 US$ (1,800-3,700 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)","2,500-5,000 US$ (1,800-3,700 Euro)"
"Ontario","http://www.4icu.org/ca/ontario/","The University of Western Ontario","http://www.4icu.org/reviews/619.htm","The University of Western Ontario","Founded in 1878, The University of Western Ontario is a non-profit public higher education institution located in the urban setting of the small city of London (population range of 250,000-499,999 inhabitants), Ontario.  Officially accredited and/or recognized by the Ministry of Advanced Education and Skills Development, Ontario, The University of Western Ontario (UWO) is a very large (uniRank enrollment range: 30,000-34,999 students) coeducational higher education institution. The University of Western Ontario (UWO) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation degrees), bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 139 years old higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades. International students are welcome to apply for enrollment.  UWO also provides several academic and non-academic facilities and services to students including a library,  housing,  sport facilities and/or activities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","http://www.uwo.ca","UWO","1878","Veritas et Utilitas
Truth and Usefulness","1151 Richmond Street

London (population range: 250,000-499,999)

N6A 3K7 Ontario Canada","+1 (519) 661 2111","+1 (519) 661 3710","null","The University of Western Ontario, Undergraduate Recruitment and Admissions, Western Student Services Building

London N6A 3K7+1 (519) 661 2100","30,000-34,999","Other","3,500-3,999","Urban","Public","None","Non-Profit","Yes","Yes","Yes","Yes","Yes","Yes","[{""accreditations"":""\n\nMinistry of Advanced Education and Skills Development, Ontario\n""},{""accreditations"":""American Library Association (ALA), Committee on Accreditation""},{""accreditations"":""European Foundation for Management Development (EFMD-EQUIS)""}]","[{""affiliations"":""Universities Canada (UC)""},{""affiliations"":""Association of Commonwealth Universities (ACU)""},{""affiliations"":""Council of Ontario Universities (COU)""},{""affiliations"":""International Association of Universities (IAU)""},{""affiliations"":""Canadian Bureau for International Education (CBIE)""},{""affiliations"":""Canadian University Press (CUP)""}]","https://www.facebook.com/WesternUniversity/","https://twitter.com/westernu","https://www.linkedin.com/school/166689","https://www.instagram.com/westernuniversity/","","The University of Western Ontario's official iTunes U channel for video lectures and course podcasts. Direct link (iTunes software required)","https://en.wikipedia.org/wiki/University_of_Western_Ontario","Not available","5,000-7,500 US$ (3,700-5,500 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)","5,000-7,500 US$ (3,700-5,500 Euro)","15,000-17,500 US$ (11,000-12,900 Euro)"
